file,left1,top1,right1,bottom1,left2,top2,right2,bottom2,left3,top3,right3,bottom3,left4,top4,right4,bottom4
5e36040b-0804-4c66-a879-32afdacf18ce.png,344.0,550.0,459.0,694.0,,,,,,,,,,,,
61d1d633-b916-4c45-bdd4-cbd800153f00.png,659.0,572.0,803.0,707.0,,,,,,,,,,,,
62bfeec8-bc21-4903-adf0-5aeff23ede5b.png,225.0,420.0,308.0,503.0,,,,,,,,,,,,
646917f3-2303-43ef-acac-37470021e91f.png,214.0,479.0,334.0,556.0,,,,,,,,,,,,
64dd81eb-6c14-431b-ad5f-520297c62f97.png,719.0,412.0,803.0,481.0,,,,,,,,,,,,
68abf087-9790-4441-b12d-75ebc081ca4b.png,739.0,478.0,862.0,594.0,,,,,,,,,,,,
6a82ef54-9e27-4c55-afba-47298ad088c9.png,236.0,512.0,349.0,602.0,,,,,,,,,,,,
6c0341ef-950c-45c1-9009-777d893e8060.png,726.0,571.0,854.0,693.0,136.0,575.0,347.0,697.0,,,,,,,,
6c490407-f039-4eaf-94c8-1bff41b09f6c.png,697.0,627.0,838.0,802.0,188.0,621.0,346.0,767.0,188.0,516.0,247.0,562.0,,,,
6d13500d-05ee-4f4f-bc08-aeda019858fe.png,219.0,393.0,368.0,542.0,311.0,193.0,411.0,271.0,680.0,428.0,818.0,542.0,,,,
6d9912ad-e56b-4ff3-931e-75b39df49c0f.png,214.0,515.0,310.0,601.0,,,,,,,,,,,,
6dc49720-b500-4b82-8909-08bc243ea4df.png,186.0,421.0,329.0,564.0,,,,,,,,,,,,
6e32b376-5740-4565-abd0-b41035f7db64.png,313.0,426.0,450.0,513.0,,,,,,,,,,,,
6f37008d-c8a4-45b0-a1cd-7b215df62cfc.png,246.0,498.0,340.0,559.0,,,,,,,,,,,,
6f4c4632-50d2-4ba9-8a75-0c651f66a096.png,212.0,482.0,425.0,649.0,565.0,499.0,688.0,616.0,,,,,,,,
6f558e12-6030-4774-a18f-e7e7f5618bdb.png,263.0,294.0,371.0,398.0,,,,,,,,,,,,
7181705d-bd1b-4896-94e6-0cc4d7562d56.png,157.0,594.0,300.0,717.0,,,,,,,,,,,,
71c7d986-b660-4df2-9c2c-a346d0aa7f03.png,404.0,537.0,472.0,653.0,,,,,,,,,,,,
74bf0245-0e19-45d6-9f31-65eaff09fb8a.png,635.0,624.0,778.0,752.0,271.0,576.0,390.0,667.0,,,,,,,,
76c091fb-7149-448c-bf1d-ae3320317b33.png,259.0,147.0,384.0,240.0,,,,,,,,,,,,
552951a6-0684-4014-b3d5-620eebd9d42b.png,,,,,,,,,,,,,,,,
5534eab3-2d20-4921-a785-1afe09cabd4a.png,,,,,,,,,,,,,,,,
553efd2c-8f59-48ee-8307-2c1dd8cecdda.png,,,,,,,,,,,,,,,,
554f7966-f588-4a7a-aae1-ed4c107713a5.png,,,,,,,,,,,,,,,,
557cdf5f-f162-4900-b7fd-a9428d9c1da4.png,,,,,,,,,,,,,,,,
55aecdc5-76dd-46c0-85e9-58e47199894f.png,,,,,,,,,,,,,,,,
55b3bd78-091c-4c00-b83e-ad37e43a1ce5.png,,,,,,,,,,,,,,,,
55bd7c5e-dd47-4c1c-aade-c3d5f39f4166.png,,,,,,,,,,,,,,,,
55c25b52-0043-4763-b889-3f5f44f01728.png,,,,,,,,,,,,,,,,
55c2c6af-48f0-4287-804b-2dc25c8b9cdd.png,,,,,,,,,,,,,,,,
55e46a4b-c9ac-4e93-b502-42b0ba128ea1.png,,,,,,,,,,,,,,,,
55e6396f-23e1-4553-a2be-a825dc70a57a.png,,,,,,,,,,,,,,,,
55ea944b-984b-4f0d-a84d-e6b8b6660edc.png,,,,,,,,,,,,,,,,
55f2867a-5c49-4ea2-a9d7-9f8bb977222c.png,,,,,,,,,,,,,,,,
5604ca1d-a3de-48a5-a574-2f3f0662d8fc.png,,,,,,,,,,,,,,,,
560500cf-ae14-40d2-bd14-5b1ac7f95ebb.png,,,,,,,,,,,,,,,,
561075e2-b494-422d-9eca-060b89fae03e.png,,,,,,,,,,,,,,,,
56130832-8cb2-4c91-a98e-a40b1f1d1dd2.png,,,,,,,,,,,,,,,,
561d7e11-d3ac-4503-97fc-45b48e99afee.png,,,,,,,,,,,,,,,,
561f6992-f97e-445c-876f-d252ca147a97.png,,,,,,,,,,,,,,,,
